Timestamp;DateTime;Name;Status;Free;Total
2017/10/16 10:41:18.673000000;2017-10-16T10:14:56;CDGA;Closed;10;100
2017/10/16 10:41:18.680000000;2017-10-16T10:09:41;VICA;Open;66;100
2017/10/16 10:41:18.683000000;2017-10-16T10:17:50;ANTI;Open;237;350
2017/10/16 10:41:18.685000000;2017-10-16T10:19:59;ARCT;Open;158;451
2017/10/16 10:41:18.687000000;2017-10-16T10:17:51;CIRC;Open;721;1200
2017/10/16 10:41:18.689000000;2017-10-16T10:17:59;COME;Open;429;830
2017/10/16 10:41:18.692000000;2017-10-16T10:17:56;CORU;Open;227;400
2017/10/16 10:41:18.693000000;2017-10-16T10:17:52;EURO;Open;305;600
2017/10/16 10:41:18.695000000;2017-10-16T10:19:49;FOCH;Open;222;580
2017/10/16 10:41:18.697000000;2017-10-16T10:17:57;GAMB;Open;106;400
2017/10/16 10:41:18.698000000;2017-10-16T10:23:54;GARD;Open;205;400
2017/10/16 10:41:18.700000000;2017-10-16T10:18:11;GARE;Open;146;659
2017/10/16 10:41:18.702000000;2017-10-16T10:15:50;MEDC;Open;116;350
2017/10/16 10:41:18.705000000;2017-10-16T10:23:11;MOSS;Open;207;420
2017/10/16 10:41:18.706000000;2017-10-16T10:14:50;OCCI;Open;86;620
2017/10/16 10:41:18.710000000;2017-10-16T10:18:10.006;Pitot;Open;354;583
2017/10/16 10:41:18.711000000;2017-10-16T10:16:52;SABI;Open;6;300
2017/10/16 10:41:18.713000000;2017-10-16T10:14:56;SABL;Open;88;361
2017/10/16 10:41:18.717000000;2017-10-16T10:17:10.073;Triangle;Open;171;436
2017/10/16 10:41:18.718000000;2017-10-16T10:14:51;SJLC;Open;137;280
2017/10/16 10:44:37.854000000;2017-10-16T10:14:56;CDGA;Closed;10;100
2017/10/16 10:44:37.857000000;2017-10-16T10:09:41;VICA;Open;66;100
2017/10/16 10:44:37.860000000;2017-10-16T10:17:50;ANTI;Open;237;350
2017/10/16 10:44:37.862000000;2017-10-16T10:19:59;ARCT;Open;158;451
2017/10/16 10:44:37.863000000;2017-10-16T10:17:51;CIRC;Open;721;1200
2017/10/16 10:44:37.865000000;2017-10-16T10:17:59;COME;Open;429;830
2017/10/16 10:44:37.867000000;2017-10-16T10:17:56;CORU;Open;227;400
2017/10/16 10:44:37.870000000;2017-10-16T10:17:52;EURO;Open;305;600
2017/10/16 10:44:37.871000000;2017-10-16T10:19:49;FOCH;Open;222;580
2017/10/16 10:44:37.873000000;2017-10-16T10:17:57;GAMB;Open;106;400
2017/10/16 10:44:37.875000000;2017-10-16T10:23:54;GARD;Open;205;400
2017/10/16 10:44:37.877000000;2017-10-16T10:18:11;GARE;Open;146;659
2017/10/16 10:44:37.878000000;2017-10-16T10:15:50;MEDC;Open;116;350
2017/10/16 10:44:37.880000000;2017-10-16T10:23:11;MOSS;Open;207;420
2017/10/16 10:44:37.882000000;2017-10-16T10:14:50;OCCI;Open;86;620
2017/10/16 10:44:37.883000000;2017-10-16T10:18:10.006;Pitot;Open;354;583
2017/10/16 10:44:37.885000000;2017-10-16T10:16:52;SABI;Open;6;300
2017/10/16 10:44:37.886000000;2017-10-16T10:14:56;SABL;Open;88;361
2017/10/16 10:44:37.888000000;2017-10-16T10:17:10.073;Triangle;Open;171;436
2017/10/16 10:44:37.889000000;2017-10-16T10:14:51;SJLC;Open;137;280
